pid,name,team,age,height,weight,gp,pts,reb,ast,net rating,season
3790,Fred VanVleet,5295,26,185.42,89.357624,54,17.6,3.8,6.6,4.8,2019-20
3797,Furkan Korkmaz,5279,22,200.66,91.625584,72,9.8,2.3,1.1,2.7,2019-20
3800,Gabe Vincent,5256,24,190.5,90.7184,9,2.4,0.6,0.7,-15.9,2019-20
3806,Garrett Temple,5211,34,195.58,88.45044,62,10.3,3.5,2.5,-1.4,2019-20
3810,Garrison Mathews,5302,23,195.58,97.52228,18,5.4,1.3,0.6,7.1,2019-20
3813,Gary Clark,5276,25,198.12,102.0582,42,3.7,2.6,0.4,-5.1,2019-20
3816,Gary Harris,5230,25,193.04,95.25432,56,10.4,2.9,2.1,3.4,2019-20
3819,Gary Payton II,5302,27,190.5,88.45044,29,3.9,2.8,1.7,-14.3,2019-20
3823,Gary Trent Jr.,5286,21,195.58,94.800728,61,8.9,1.6,1,-1.4,2019-20
3826,George Hill,5260,34,190.5,85.275296,59,9.4,3,3.1,10.6,2019-20
3829,Georges Niang,5299,27,200.66,104.32616,66,5.9,1.9,0.7,-1.1,2019-20
3832,Giannis Antetokounmpo,5260,25,210.82,109.769264,63,29.5,13.6,5.6,15.4,2019-20
3836,Glenn Robinson III,5279,26,198.12,100.697424,62,11.7,4.4,1.5,-7.8,2019-20
3839,Goga Bitadze,5243,20,210.82,113.398,54,3.2,2,0.4,-1.4,2019-20
3842,Goran Dragic,5256,34,190.5,86.18248,59,16.2,3.2,5.1,3.5,2019-20
3846,Gordon Hayward,5214,30,200.66,102.0582,52,17.5,6.7,4.1,8.5,2019-20
3849,Gorgui Dieng,5253,30,208.28,114.305184,63,7.4,5.6,1.2,-3.6,2019-20
3855,Grant Williams,5214,21,198.12,107.047712,69,3.4,2.6,1,6.3,2019-20
3859,Grayson Allen,5253,24,193.04,89.811216,38,8.7,2.2,1.4,-6,2019-20
3865,Hamidou Diallo,5273,21,195.58,91.625584,46,6.9,3.6,0.8,0.9,2019-20
3868,Harrison Barnes,5289,28,203.2,102.0582,72,14.5,4.9,2.2,-2.5,2019-20
3872,Harry Giles III,5289,22,210.82,108.86208,46,6.9,4.1,1.3,-8.2,2019-20
3875,Hassan Whiteside,5286,31,213.36,120.20188,67,15.5,13.5,1.2,2.7,2019-20
3878,Henry Ellenson,5211,23,208.28,108.86208,5,0.4,1.2,0.2,27.3,2019-20
3881,Ian Mahinmi,5302,33,210.82,118.841104,38,7.4,5.7,1.3,-4.5,2019-20
3885,Ignas Brazdeikis,5269,21,198.12,100.243832,9,1.9,0.6,0.4,-7.1,2019-20
3888,Iman Shumpert,5211,30,195.58,96.161504,13,4.2,2.6,0.9,-9,2019-20
3895,Isaac Bonga,5302,20,203.2,81.64656,66,5,3.4,1.2,-0.4,2019-20
3901,Isaiah Hartenstein,5240,22,213.36,113.398,23,4.7,3.9,0.8,8.7,2019-20
3787,Frank Ntilikina,5269,21,193.04,90.7184,57,6.3,2.1,3,-3.9,2019-20
3908,Isaiah Roby,5273,22,203.2,104.32616,3,0,0.7,0,-11.5,2019-20
3784,Frank Mason,5260,26,180.34,86.18248,9,6.9,2.1,3.2,-1.8,2019-20
3777,Frank Jackson,5266,22,190.5,92.98636,59,6.3,1.4,1,-3.4,2019-20
3669,Domantas Sabonis,5243,24,210.82,108.86208,62,18.5,12.4,5,3.1,2019-20
3672,Donovan Mitchell,5299,23,185.42,97.52228,69,24,4.4,4.3,2.6,2019-20
3676,Donta Hall,5211,22,205.74,103.872568,9,4.3,4.2,0.4,-12,2019-20
3679,Donte DiVincenzo,5260,23,193.04,92.079176,66,9.2,4.8,2.3,12.2,2019-20
3682,Dorian Finney-Smith,5227,27,200.66,99.79024,71,9.5,5.7,1.6,6.5,2019-20
3686,Doug McDermott,5243,28,200.66,102.0582,69,10.3,2.5,1.1,3.2,2019-20
3689,Dragan Bender,5237,22,213.36,112.944408,16,6.7,4.6,1.8,1.1,2019-20
3692,Draymond Green,5237,30,198.12,104.32616,43,8,6.2,6.2,-7.2,2019-20
3695,Drew Eubanks,5292,23,205.74,111.13004,22,4.9,3.9,0.7,-11,2019-20
3699,Duncan Robinson,5256,26,200.66,97.52228,73,13.5,3.2,1.4,7.5,2019-20
3702,Dusty Hannahs,5253,26,190.5,95.25432,2,6,0.5,0,17.2,2019-20
3705,Dwayne Bacon,5217,24,198.12,100.243832,39,5.7,2.6,1.3,-8.2,2019-20
3708,Dwight Howard,5250,34,208.28,120.20188,69,7.5,7.3,0.7,5.9,2019-20
3712,Dwight Powell,5227,28,208.28,108.86208,40,9.4,5.7,1.5,8.9,2019-20
3718,Dzanan Musa,5211,21,205.74,98.429464,40,4.8,2.2,1.1,-2.5,2019-20
3721,E'Twaun Moore,5266,31,190.5,86.636072,56,8.3,2.3,1.4,-2.2,2019-20
3725,Ed Davis,5299,31,205.74,98.883056,28,1.8,3.8,0.4,-15.2,2019-20
3728,Edmond Sumner,5243,24,193.04,88.904032,31,4.9,1.5,1.8,-2.6,2019-20
3731,Elfrid Payton,5269,26,190.5,88.45044,45,10,4.7,7.2,-3,2019-20
3735,Elie Okobo,5282,22,190.5,86.18248,55,4,1.6,2.1,-3.2,2019-20
3744,Emmanuel Mudiay,5299,24,190.5,90.7184,54,7.3,2.3,2.1,-2,2019-20
3748,Enes Kanter,5214,28,208.28,113.398,58,8.1,7.4,1,9.9,2019-20
3751,Eric Bledsoe,5260,30,185.42,97.068688,61,14.9,4.6,5.4,11.8,2019-20
3754,Eric Gordon,5240,31,190.5,97.52228,36,14.4,2,1.5,0.4,2019-20
3757,Eric Mika,5289,25,208.28,105.686936,1,6,7,0,19.5,2019-20
3761,Eric Paschall,5237,23,198.12,115.66596,60,14,4.6,2.1,-10.6,2019-20
3764,Ersan Ilyasova,5260,33,205.74,106.59412,63,6.6,4.8,0.8,4.2,2019-20
